id,category,topic,description_en,description_hi,advice_en,advice_hi
490,Maternal Health,Anemia,Anemia is a health issue that commonly affects people in rural areas. It is especially common in elderly.,"Anemia गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।","Use clean water, proper diet, and follow medical advice to manage Anemia.",उचित जागरूकता और समय पर देखभाल से Anemia के प्रभाव को कम किया जा सकता है।
491,Maternal Health,Nutrition,Many individuals suffer from Nutrition due to lack of awareness. It is especially common in urban slums.,यदि समय पर इलाज न किया जाए तो Nutrition गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,Get regular checkups and use available government support to deal with Nutrition.,Nutrition से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
492,Maternal Health,Vaccination,"Vaccination spreads through unsafe water, poor hygiene, or insects. It is especially common in pregnant women.",जागरूकता की कमी के कारण कई लोग Vaccination से पीड़ित होते हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।,Proper awareness and timely care help reduce the impact of Vaccination.,Vaccination से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
493,Maternal Health,Anemia,Anemia can cause serious problems if not treated in time. It is especially common in urban slums.,जागरूकता की कमी के कारण कई लोग Anemia से पीड़ित होते हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।,"To prevent Anemia, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Anemia के लिए।"
494,Maternal Health,Prenatal Care,Many individuals suffer from Prenatal Care due to lack of awareness. It is especially common in pregnant women.,यदि समय पर इलाज न किया जाए तो Prenatal Care गंभीर हो सकता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"Use clean water, proper diet, and follow medical advice to manage Prenatal Care.",उचित जागरूकता और समय पर देखभाल से Prenatal Care के प्रभाव को कम किया जा सकता है।
495,Maternal Health,Prenatal Care,Prenatal Care is a health issue that commonly affects people in rural areas. It is especially common in pregnant women.,जागरूकता की कमी के कारण कई लोग Prenatal Care से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Prenatal Care, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Prenatal Care के प्रभाव को कम किया जा सकता है।
496,Maternal Health,Vaccination,"Vaccination symptoms include pain, fever, and weakness. It is especially common in pregnant women.","Vaccination के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।","In case of Vaccination, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Vaccination के लिए।"
497,Maternal Health,Vaccination,Vaccination can cause serious problems if not treated in time. It is especially common in children.,यदि समय पर इलाज न किया जाए तो Vaccination गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Vaccination, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Vaccination के प्रभाव को कम किया जा सकता है।
498,Maternal Health,Anemia,"Anemia spreads through unsafe water, poor hygiene, or insects. It is especially common in children.",यदि समय पर इलाज न किया जाए तो Anemia गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Anemia.",Anemia से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
499,Maternal Health,Prenatal Care,"Prenatal Care symptoms include pain, fever, and weakness. It is especially common in children.",Prenatal Care एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से ग्रामीण समुदायों में आम है।,Get regular checkups and use available government support to deal with Prenatal Care.,यदि Prenatal Care हो तो तुरंत नजदीकी क्लिनिक जाएं।
500,Maternal Health,Prenatal Care,Prenatal Care is a health issue that commonly affects people in rural areas. It is especially common in pregnant women.,Prenatal Care एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बच्चों में आम है।,Get regular checkups and use available government support to deal with Prenatal Care.,Prenatal Care से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
501,Maternal Health,Nutrition,"Nutrition spreads through unsafe water, poor hygiene, or insects. It is especially common in children.",Nutrition एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Nutrition, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Nutrition के प्रभाव को कम किया जा सकता है।
502,Maternal Health,Safe Delivery,Safe Delivery can cause serious problems if not treated in time. It is especially common in children.,यदि समय पर इलाज न किया जाए तो Safe Delivery गंभीर हो सकता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।,Proper awareness and timely care help reduce the impact of Safe Delivery.,यदि Safe Delivery हो तो तुरंत नजदीकी क्लिनिक जाएं।
503,Maternal Health,Nutrition,Nutrition is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,यदि समय पर इलाज न किया जाए तो Nutrition गंभीर हो सकता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Proper awareness and timely care help reduce the impact of Nutrition.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Nutrition के लिए।
504,Maternal Health,Prenatal Care,Prenatal Care can cause serious problems if not treated in time. It is especially common in rural communities.,"Prenatal Care के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बच्चों में आम है।","Use clean water, proper diet, and follow medical advice to manage Prenatal Care.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Prenatal Care के लिए।"
505,Maternal Health,Vaccination,Vaccination is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,Vaccination एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,Proper awareness and timely care help reduce the impact of Vaccination.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Vaccination के लिए।"
506,Maternal Health,Anemia,"Anemia symptoms include pain, fever, and weakness. It is especially common in children.","Anemia के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।",Proper awareness and timely care help reduce the impact of Anemia.,यदि Anemia हो तो तुरंत नजदीकी क्लिनिक जाएं।
507,Maternal Health,Prenatal Care,Prenatal Care is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,Prenatal Care एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से ग्रामीण समुदायों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Prenatal Care.",यदि Prenatal Care हो तो तुरंत नजदीकी क्लिनिक जाएं।
508,Maternal Health,Vaccination,"Vaccination symptoms include pain, fever, and weakness. It is especially common in urban slums.",यदि समय पर इलाज न किया जाए तो Vaccination गंभीर हो सकता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Get regular checkups and use available government support to deal with Vaccination.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Vaccination के लिए।"
509,Maternal Health,Anemia,"Anemia spreads through unsafe water, poor hygiene, or insects. It is especially common in children.",जागरूकता की कमी के कारण कई लोग Anemia से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,Proper awareness and timely care help reduce the impact of Anemia.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Anemia के लिए।
510,Maternal Health,Safe Delivery,Safe Delivery is a health issue that commonly affects people in rural areas. It is especially common in children.,यदि समय पर इलाज न किया जाए तो Safe Delivery गंभीर हो सकता है। यह विशेष रूप से बच्चों में आम है।,Get regular checkups and use available government support to deal with Safe Delivery.,यदि Safe Delivery हो तो तुरंत नजदीकी क्लिनिक जाएं।
511,Maternal Health,Safe Delivery,"Safe Delivery spreads through unsafe water, poor hygiene, or insects. It is especially common in children.",Safe Delivery एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से शहरी झुग्गियों में आम है।,Proper awareness and timely care help reduce the impact of Safe Delivery.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Safe Delivery के लिए।
512,Maternal Health,Nutrition,"Nutrition symptoms include pain, fever, and weakness. It is especially common in pregnant women.","Nutrition के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।","Use clean water, proper diet, and follow medical advice to manage Nutrition.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Nutrition के लिए।"
513,Maternal Health,Prenatal Care,"Prenatal Care spreads through unsafe water, poor hygiene, or insects. It is especially common in elderly.",जागरूकता की कमी के कारण कई लोग Prenatal Care से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Prenatal Care.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Prenatal Care के लिए।"
514,Maternal Health,Prenatal Care,"Prenatal Care spreads through unsafe water, poor hygiene, or insects. It is especially common in elderly.",जागरूकता की कमी के कारण कई लोग Prenatal Care से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"In case of Prenatal Care, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Prenatal Care के प्रभाव को कम किया जा सकता है।
515,Maternal Health,Vaccination,Many individuals suffer from Vaccination due to lack of awareness. It is especially common in rural communities.,यदि समय पर इलाज न किया जाए तो Vaccination गंभीर हो सकता है। यह विशेष रूप से बुजुर्गों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Vaccination.",यदि Vaccination हो तो तुरंत नजदीकी क्लिनिक जाएं।
516,Maternal Health,Anemia,Anemia is a health issue that commonly affects people in rural areas. It is especially common in children.,"Anemia गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बुजुर्गों में आम है।","To prevent Anemia, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Anemia के प्रभाव को कम किया जा सकता है।
517,Maternal Health,Nutrition,"Nutrition symptoms include pain, fever, and weakness. It is especially common in elderly.","Nutrition गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।","To prevent Nutrition, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Nutrition के प्रभाव को कम किया जा सकता है।
518,Maternal Health,Safe Delivery,"Safe Delivery symptoms include pain, fever, and weakness. It is especially common in rural communities.",Safe Delivery एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बच्चों में आम है।,"To prevent Safe Delivery, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Safe Delivery के लिए।"
519,Maternal Health,Safe Delivery,Safe Delivery is a health issue that commonly affects people in rural areas. It is especially common in children.,"Safe Delivery गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बच्चों में आम है।",Get regular checkups and use available government support to deal with Safe Delivery.,यदि Safe Delivery हो तो तुरंत नजदीकी क्लिनिक जाएं।
520,Maternal Health,Anemia,Anemia is a health issue that commonly affects people in rural areas. It is especially common in pregnant women.,यदि समय पर इलाज न किया जाए तो Anemia गंभीर हो सकता है। यह विशेष रूप से बच्चों में आम है।,"To prevent Anemia, maintain hygiene and consult a health worker.",Anemia से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
521,Emergency Advice,Burns,Burns is a health issue that commonly affects people in rural areas. It is especially common in elderly.,जागरूकता की कमी के कारण कई लोग Burns से पीड़ित होते हैं। यह विशेष रूप से बुजुर्गों में आम है।,"To prevent Burns, maintain hygiene and consult a health worker.",Burns से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
522,Emergency Advice,Burns,Many individuals suffer from Burns due to lack of awareness. It is especially common in urban slums.,यदि समय पर इलाज न किया जाए तो Burns गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,Proper awareness and timely care help reduce the impact of Burns.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Burns के लिए।"
523,Emergency Advice,Snake Bite,Snake Bite can cause serious problems if not treated in time. It is especially common in urban slums.,"Snake Bite गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Proper awareness and timely care help reduce the impact of Snake Bite.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Snake Bite के लिए।"
524,Emergency Advice,Bleeding,Bleeding is a health issue that commonly affects people in rural areas. It is especially common in elderly.,"Bleeding के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।","Use clean water, proper diet, and follow medical advice to manage Bleeding.",यदि Bleeding हो तो तुरंत नजदीकी क्लिनिक जाएं।
525,Emergency Advice,Burns,Burns can cause serious problems if not treated in time. It is especially common in elderly.,यदि समय पर इलाज न किया जाए तो Burns गंभीर हो सकता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Burns.",यदि Burns हो तो तुरंत नजदीकी क्लिनिक जाएं।
526,Emergency Advice,Drowning,Drowning can cause serious problems if not treated in time. It is especially common in pregnant women.,जागरूकता की कमी के कारण कई लोग Drowning से पीड़ित होते हैं। यह विशेष रूप से बच्चों में आम है।,"To prevent Drowning, maintain hygiene and consult a health worker.",उचित जागरूकता और समय पर देखभाल से Drowning के प्रभाव को कम किया जा सकता है।
527,Emergency Advice,Snake Bite,Snake Bite can cause serious problems if not treated in time. It is especially common in children.,"Snake Bite गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Proper awareness and timely care help reduce the impact of Snake Bite.,उचित जागरूकता और समय पर देखभाल से Snake Bite के प्रभाव को कम किया जा सकता है।
528,Emergency Advice,Snake Bite,"Snake Bite symptoms include pain, fever, and weakness. It is especially common in rural communities.","Snake Bite गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।","Use clean water, proper diet, and follow medical advice to manage Snake Bite.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Snake Bite के लिए।"
529,Emergency Advice,Bleeding,Many individuals suffer from Bleeding due to lack of awareness. It is especially common in pregnant women.,"Bleeding गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।",Proper awareness and timely care help reduce the impact of Bleeding.,उचित जागरूकता और समय पर देखभाल से Bleeding के प्रभाव को कम किया जा सकता है।
530,Emergency Advice,Drowning,Drowning can cause serious problems if not treated in time. It is especially common in pregnant women.,Drowning एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बुजुर्गों में आम है।,Proper awareness and timely care help reduce the impact of Drowning.,उचित जागरूकता और समय पर देखभाल से Drowning के प्रभाव को कम किया जा सकता है।
531,Emergency Advice,Bleeding,Many individuals suffer from Bleeding due to lack of awareness. It is especially common in rural communities.,Bleeding एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"To prevent Bleeding, maintain hygiene and consult a health worker.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Bleeding के लिए।"
532,Emergency Advice,Bleeding,"Bleeding spreads through unsafe water, poor hygiene, or insects. It is especially common in children.",जागरूकता की कमी के कारण कई लोग Bleeding से पीड़ित होते हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"To prevent Bleeding, maintain hygiene and consult a health worker.",यदि Bleeding हो तो तुरंत नजदीकी क्लिनिक जाएं।
533,Emergency Advice,Burns,"Burns symptoms include pain, fever, and weakness. It is especially common in elderly.","Burns गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।","Use clean water, proper diet, and follow medical advice to manage Burns.",उचित जागरूकता और समय पर देखभाल से Burns के प्रभाव को कम किया जा सकता है।
534,Emergency Advice,Bleeding,"Bleeding spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.","Bleeding गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Get regular checkups and use available government support to deal with Bleeding.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Bleeding के लिए।"
535,Emergency Advice,Electric Shock,"Electric Shock symptoms include pain, fever, and weakness. It is especially common in elderly.",Electric Shock एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Electric Shock.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Electric Shock के लिए।"
536,Emergency Advice,Drowning,Drowning can cause serious problems if not treated in time. It is especially common in elderly.,"Drowning गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से शहरी झुग्गियों में आम है।",Get regular checkups and use available government support to deal with Drowning.,यदि Drowning हो तो तुरंत नजदीकी क्लिनिक जाएं।
537,Emergency Advice,Drowning,Drowning can cause serious problems if not treated in time. It is especially common in rural communities.,जागरूकता की कमी के कारण कई लोग Drowning से पीड़ित होते हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।,"In case of Drowning, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Drowning के लिए।"
538,Emergency Advice,Drowning,"Drowning symptoms include pain, fever, and weakness. It is especially common in children.",यदि समय पर इलाज न किया जाए तो Drowning गंभीर हो सकता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,"Use clean water, proper diet, and follow medical advice to manage Drowning.",यदि Drowning हो तो तुरंत नजदीकी क्लिनिक जाएं।
539,Emergency Advice,Drowning,Drowning can cause serious problems if not treated in time. It is especially common in children.,"Drowning के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से गर्भवती महिलाओं में आम है।",Get regular checkups and use available government support to deal with Drowning.,Drowning से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
540,Emergency Advice,Electric Shock,Electric Shock is a health issue that commonly affects people in rural areas. It is especially common in urban slums.,यदि समय पर इलाज न किया जाए तो Electric Shock गंभीर हो सकता है। यह विशेष रूप से बच्चों में आम है।,"In case of Electric Shock, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Electric Shock के प्रभाव को कम किया जा सकता है।
541,Emergency Advice,Snake Bite,"Snake Bite spreads through unsafe water, poor hygiene, or insects. It is especially common in urban slums.","Snake Bite के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।","In case of Snake Bite, immediately visit the nearest clinic.",Snake Bite से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
542,Emergency Advice,Drowning,"Drowning spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.",जागरूकता की कमी के कारण कई लोग Drowning से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"Use clean water, proper diet, and follow medical advice to manage Drowning.",उचित जागरूकता और समय पर देखभाल से Drowning के प्रभाव को कम किया जा सकता है।
543,Emergency Advice,Drowning,Many individuals suffer from Drowning due to lack of awareness. It is especially common in pregnant women.,Drowning एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से शहरी झुग्गियों में आम है।,Get regular checkups and use available government support to deal with Drowning.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Drowning के लिए।
544,Emergency Advice,Electric Shock,Electric Shock is a health issue that commonly affects people in rural areas. It is especially common in elderly.,Electric Shock एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Proper awareness and timely care help reduce the impact of Electric Shock.,Electric Shock से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
545,Emergency Advice,Burns,Many individuals suffer from Burns due to lack of awareness. It is especially common in elderly.,"Burns गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से ग्रामीण समुदायों में आम है।","To prevent Burns, maintain hygiene and consult a health worker.",नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Burns के लिए।
546,Emergency Advice,Drowning,Drowning can cause serious problems if not treated in time. It is especially common in pregnant women.,"Drowning के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Proper awareness and timely care help reduce the impact of Drowning.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Drowning के लिए।"
547,Emergency Advice,Snake Bite,Snake Bite can cause serious problems if not treated in time. It is especially common in pregnant women.,जागरूकता की कमी के कारण कई लोग Snake Bite से पीड़ित होते हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Snake Bite, immediately visit the nearest clinic.",Snake Bite से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
548,Emergency Advice,Drowning,"Drowning spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.",Drowning एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से बच्चों में आम है।,Proper awareness and timely care help reduce the impact of Drowning.,Drowning से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
549,Emergency Advice,Electric Shock,Electric Shock is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,"Electric Shock के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से ग्रामीण समुदायों में आम है।",Proper awareness and timely care help reduce the impact of Electric Shock.,"साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Electric Shock के लिए।"
550,Emergency Advice,Drowning,"Drowning spreads through unsafe water, poor hygiene, or insects. It is especially common in rural communities.",जागरूकता की कमी के कारण कई लोग Drowning से पीड़ित होते हैं। यह विशेष रूप से बच्चों में आम है।,"In case of Drowning, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Drowning के प्रभाव को कम किया जा सकता है।
551,Emergency Advice,Electric Shock,"Electric Shock symptoms include pain, fever, and weakness. It is especially common in urban slums.",यदि समय पर इलाज न किया जाए तो Electric Shock गंभीर हो सकता है। यह विशेष रूप से बच्चों में आम है।,"To prevent Electric Shock, maintain hygiene and consult a health worker.",Electric Shock से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
552,Emergency Advice,Drowning,"Drowning symptoms include pain, fever, and weakness. It is especially common in elderly.","Drowning के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।",Proper awareness and timely care help reduce the impact of Drowning.,उचित जागरूकता और समय पर देखभाल से Drowning के प्रभाव को कम किया जा सकता है।
553,Emergency Advice,Bleeding,Bleeding is a health issue that commonly affects people in rural areas. It is especially common in pregnant women.,Bleeding एक सामान्य स्वास्थ्य समस्या है जो ग्रामीण इलाकों में आम है। यह विशेष रूप से ग्रामीण समुदायों में आम है।,Proper awareness and timely care help reduce the impact of Bleeding.,उचित जागरूकता और समय पर देखभाल से Bleeding के प्रभाव को कम किया जा सकता है।
554,Emergency Advice,Drowning,"Drowning spreads through unsafe water, poor hygiene, or insects. It is especially common in urban slums.","Drowning के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बच्चों में आम है।",Get regular checkups and use available government support to deal with Drowning.,नियमित जांच कराएं और सरकारी सहायता का उपयोग करें Drowning के लिए।
555,Emergency Advice,Drowning,"Drowning spreads through unsafe water, poor hygiene, or insects. It is especially common in urban slums.","Drowning के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बुजुर्गों में आम है।",Get regular checkups and use available government support to deal with Drowning.,यदि Drowning हो तो तुरंत नजदीकी क्लिनिक जाएं।
556,Emergency Advice,Electric Shock,Electric Shock can cause serious problems if not treated in time. It is especially common in pregnant women.,जागरूकता की कमी के कारण कई लोग Electric Shock से पीड़ित होते हैं। यह विशेष रूप से बच्चों में आम है।,Proper awareness and timely care help reduce the impact of Electric Shock.,यदि Electric Shock हो तो तुरंत नजदीकी क्लिनिक जाएं।
557,Emergency Advice,Burns,Burns is a health issue that commonly affects people in rural areas. It is especially common in children.,"Burns के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से शहरी झुग्गियों में आम है।","In case of Burns, immediately visit the nearest clinic.","साफ पानी, उचित आहार और चिकित्सकीय सलाह का पालन करें Burns के लिए।"
558,Emergency Advice,Snake Bite,Snake Bite is a health issue that commonly affects people in rural areas. It is especially common in urban slums.,"Snake Bite गंदे पानी, खराब स्वच्छता या कीड़ों से फैलता है। यह विशेष रूप से बुजुर्गों में आम है।","In case of Snake Bite, immediately visit the nearest clinic.",Snake Bite से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
559,Emergency Advice,Bleeding,Bleeding can cause serious problems if not treated in time. It is especially common in children.,यदि समय पर इलाज न किया जाए तो Bleeding गंभीर हो सकता है। यह विशेष रूप से गर्भवती महिलाओं में आम है।,Proper awareness and timely care help reduce the impact of Bleeding.,Bleeding से बचने के लिए स्वच्छता बनाए रखें और स्वास्थ्य कार्यकर्ता से सलाह लें।
560,Emergency Advice,Drowning,Drowning is a health issue that commonly affects people in rural areas. It is especially common in rural communities.,यदि समय पर इलाज न किया जाए तो Drowning गंभीर हो सकता है। यह विशेष रूप से शहरी झुग्गियों में आम है।,"In case of Drowning, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Drowning के प्रभाव को कम किया जा सकता है।
561,Emergency Advice,Bleeding,Bleeding is a health issue that commonly affects people in rural areas. It is especially common in elderly.,"Bleeding के लक्षणों में दर्द, बुखार और कमजोरी शामिल हैं। यह विशेष रूप से बच्चों में आम है।","In case of Bleeding, immediately visit the nearest clinic.",उचित जागरूकता और समय पर देखभाल से Bleeding के प्रभाव को कम किया जा सकता है।
562,Emergency Advice,Bleeding,"Bleeding symptoms include pain, fever, and weakness. It is especially common in elderly.",यदि समय पर इलाज न किया जाए तो Bleeding गंभीर हो सकता है। यह विशेष रूप से बच्चों में आम है।,Proper awareness and timely care help reduce the impact of Bleeding.,यदि Bleeding हो तो तुरंत नजदीकी क्लिनिक जाएं।
